tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;backpressure;6;3.0;0.15
10;backpressure;8;4.0;0.20
15;backpressure;10;5.0;0.25
20;backpressure;12;3.0;0.23
25;backpressure;18;3.0;0.25
30;backpressure;24;4.0;0.33
35;backpressure;33;6.0;0.42
40;backpressure;7;2.0;0.11
45;backpressure;6;3.0;0.15
50;backpressure;10;5.0;0.25
55;backpressure;8;4.0;0.20
60;backpressure;12;2.0;0.17
65;backpressure;24;4.0;0.33
70;backpressure;30;5.0;0.41
75;backpressure;11;2.0;0.14
80;backpressure;6;3.0;0.15
85;backpressure;8;4.0;0.20
90;backpressure;10;5.0;0.25
95;backpressure;12;2.0;0.17
100;backpressure;24;4.0;0.33
105;backpressure;30;5.0;0.41
110;backpressure;17;4.0;0.15
115;backpressure;6;3.0;0.15
120;backpressure;8;4.0;0.20
125;backpressure;10;5.0;0.25
130;backpressure;6;1.0;0.08
135;backpressure;18;3.0;0.25
140;backpressure;30;5.0;0.41
145;backpressure;21;4.0;0.26
150;backpressure;4;2.0;0.10
155;backpressure;11;4.0;0.21
160;backpressure;10;5.0;0.25
165;backpressure;8;1.0;0.13
170;backpressure;18;3.0;0.25
175;backpressure;30;5.0;0.41
180;backpressure;33;6.0;0.42
