tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;backpressure;6;3.0;0.15
10;backpressure;16;5.0;0.33
15;backpressure;10;5.0;0.25
20;backpressure;12;3.0;0.23
25;backpressure;18;3.0;0.25
30;backpressure;30;5.0;0.41
35;backpressure;36;7.0;0.43
40;backpressure;8;2.0;0.07
45;backpressure;8;4.0;0.20
50;backpressure;10;5.0;0.25
55;backpressure;8;4.0;0.20
60;backpressure;12;2.0;0.17
65;backpressure;24;4.0;0.33
70;backpressure;33;6.0;0.42
75;backpressure;11;3.0;0.07
80;backpressure;6;3.0;0.15
85;backpressure;13;5.0;0.26
90;backpressure;10;5.0;0.25
95;backpressure;12;2.0;0.17
100;backpressure;24;4.0;0.33
105;backpressure;33;6.0;0.42
110;backpressure;20;5.0;0.16
115;backpressure;6;3.0;0.15
120;backpressure;13;5.0;0.33
125;backpressure;10;5.0;0.25
130;backpressure;12;2.0;0.17
135;backpressure;24;4.0;0.33
140;backpressure;33;6.0;0.42
145;backpressure;27;6.0;0.27
150;backpressure;4;2.0;0.10
155;backpressure;8;4.0;0.20
160;backpressure;10;5.0;0.25
165;backpressure;8;1.0;0.13
170;backpressure;18;3.0;0.25
175;backpressure;30;5.0;0.41
180;backpressure;36;7.0;0.43
