tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;backpressure;10;5.0;0.25
10;backpressure;10;5.0;0.25
15;backpressure;10;5.0;0.25
20;backpressure;18;3.0;0.31
25;backpressure;30;5.0;0.41
30;backpressure;39;8.0;0.43
35;backpressure;51;12.0;0.46
40;backpressure;30;8.0;0.21
45;backpressure;19;5.0;0.27
50;backpressure;10;5.0;0.25
55;backpressure;14;4.0;0.28
60;backpressure;24;4.0;0.33
65;backpressure;39;8.0;0.43
70;backpressure;48;11.0;0.46
75;backpressure;34;9.0;0.24
80;backpressure;22;5.0;0.28
85;backpressure;10;5.0;0.25
90;backpressure;10;5.0;0.25
95;backpressure;24;4.0;0.33
100;backpressure;36;7.0;0.43
105;backpressure;45;10.0;0.45
110;backpressure;46;11.0;0.41
115;backpressure;28;6.0;0.29
120;backpressure;10;5.0;0.25
125;backpressure;10;5.0;0.25
130;backpressure;20;3.0;0.30
135;backpressure;33;6.0;0.42
140;backpressure;45;10.0;0.45
145;backpressure;44;11.0;0.36
150;backpressure;26;6.0;0.25
155;backpressure;16;5.0;0.27
160;backpressure;10;5.0;0.25
165;backpressure;14;2.0;0.22
170;backpressure;33;6.0;0.42
175;backpressure;42;9.0;0.44
180;backpressure;51;12.0;0.46
