Tempo (s);Algoritmo;Total Escoados;Fila Maxima;Ocupacao Media
0;RL;1.7185185185185183;18.536736522182945;0.3850980976424163
5;RL;3.4370370370370367;24.078855585922685;0.29077213825038256
10;RL;5.155555555555555;20.694565094262686;0.29140995276656073
15;RL;6.874074074074073;22.431601998771157;0.38395554201465887
20;RL;8.592592592592592;19.975443847554963;0.35357117758877776
25;RL;10.31111111111111;22.21610233354465;0.37786596095222247
30;RL;12.029629629629628;22.41006527595312;0.37746101279746785
35;RL;13.748148148148147;18.306520925085543;0.4065843172752761
40;RL;15.466666666666665;26.41434394581025;0.47581708221809194
45;RL;17.185185185185183;25.263056862345188;0.4654074099706455
50;RL;18.9037037037037;22.18535152381924;0.4806928789256114
55;RL;20.62222222222222;21.073176890810622;0.42582197925212295
60;RL;22.34074074074074;24.27081381494056;0.44725679618621644
65;RL;24.059259259259257;24.047060201773366;0.41010166585513996
70;RL;25.777777777777775;24.882976915682157;0.48447521836412033
75;RL;27.496296296296293;24.852768026554998;0.550940355945073
80;RL;29.21481481481481;25.78006942838979;0.5512302731828544
85;RL;30.93333333333333;27.960173064172675;0.54255909717874
90;RL;32.651851851851845;26.499742291257473;0.5620181039126622
95;RL;34.37037037037037;23.56219909879142;0.5555031635038418
100;RL;36.08888888888889;28.684610017647326;0.5957951136100577
105;RL;37.80740740740741;29.53868765481012;0.6261113128793229
110;RL;39.52592592592593;32.859546212468835;0.5681409782294904
115;RL;41.244444444444454;24.606418892576592;0.6390896298438253
120;RL;42.962962962962976;27.63714520096746;0.671555862694245
125;RL;44.6814814814815;23.285157983900056;0.6446124252536042
130;RL;46.40000000000002;28.85362791864757;0.691569069643023
135;RL;48.11851851851854;26.948903225166728;0.7684703019704823
140;RL;49.837037037037064;32.1901696267613;0.694383002203599
145;RL;51.555555555555586;27.09202231268535;0.7227951148502658
150;RL;53.27407407407411;25.560860392399114;0.7023368081971646
155;RL;54.99259259259263;28.294673202539716;0.7433986729419682
160;RL;56.71111111111115;25.5841993571216;0.7652519041702758
165;RL;58.42962962962967;31.335348024181624;0.770771642985811
170;RL;60.148148148148195;26.000957238265478;0.7478181305433415
175;RL;61.86666666666672;30.48601270875556;0.798082460631271
180;RL;63.58518518518524;26.57144812228797;0.8492401030099366
185;RL;65.30370370370376;30.384450368538204;0.8323159151407435
190;RL;67.02222222222228;34.60977650483167;0.8611990752343631
195;RL;68.7407407407408;32.342290191705324;0.8387117178187293
200;RL;70.45925925925933;30.191981414514977;0.8818017014587196
205;RL;72.17777777777785;32.1545358621778;0.8811653467794044
210;RL;73.89629629629637;32.550950799755974;0.8577426070991918
215;RL;75.61481481481489;33.75815196296502;0.9093081764906752
220;RL;77.33333333333341;30.377148760327678;0.8834842638003998
225;RL;79.05185185185194;34.59397425019512;0.9077313728139657
230;RL;80.77037037037046;28.29803065490603;0.9458802476361808
235;RL;82.48888888888898;32.745019028995074;0.9626003439757135
240;RL;84.2074074074075;33.32621466443073;0.9314886591788962
245;RL;85.92592592592602;35.86739021708742;0.98
250;RL;87.64444444444455;34.9439724859098;0.98
255;RL;89.36296296296307;32.385558888454604;0.98
260;RL;91.08148148148159;33.52467296014427;0.9749685586653355
265;RL;92.80000000000011;36.18999344648423;0.98
270;RL;94.51851851851863;35.932472959271436;0.98
275;RL;96.23703703703715;35.230333639340174;0.98
280;RL;97.95555555555568;35.72488849519883;0.98
285;RL;99.6740740740742;38.376866284152484;0.98
290;RL;101.39259259259272;36.2471193597066;0.98
295;RL;103.11111111111124;37.404296232998;0.98
