Tempo (s);Algoritmo;Total Escoados;Fila Maxima;Ocupacao Media
0;heuristicaocupacao;1.0285714285714285;10.056649924897107;0.1803377761401781
5;heuristicaocupacao;2.057142857142857;10.611970734875745;0.1514493348425413
10;heuristicaocupacao;3.0857142857142854;10.09405718297894;0.23689260057178985
15;heuristicaocupacao;4.114285714285714;10.733335585383248;0.16008858357063693
20;heuristicaocupacao;5.142857142857142;10.393586336886184;0.20660956950792864
25;heuristicaocupacao;6.171428571428571;8.435923336241204;0.19941216284675656
30;heuristicaocupacao;7.199999999999999;9.554332489295337;0.23557230120343808
35;heuristicaocupacao;8.228571428571428;10.431858307911492;0.24945207551019205
40;heuristicaocupacao;9.257142857142856;9.448529101311017;0.20965354116727183
45;heuristicaocupacao;10.285714285714285;11.340430554667343;0.19217755767182568
50;heuristicaocupacao;11.314285714285713;12.353530637533852;0.23466593515729703
55;heuristicaocupacao;12.342857142857142;12.123819637406484;0.20662198686347272
60;heuristicaocupacao;13.37142857142857;10.773892895297976;0.29344174246874694
65;heuristicaocupacao;14.399999999999999;12.560339883597152;0.24322286206234273
70;heuristicaocupacao;15.428571428571427;11.300559184468328;0.23425383267740968
75;heuristicaocupacao;16.457142857142856;10.897083736667192;0.2568405654796325
80;heuristicaocupacao;17.485714285714284;10.703045024763307;0.21697304470470674
85;heuristicaocupacao;18.514285714285712;11.096255982335133;0.23432508932219046
90;heuristicaocupacao;19.54285714285714;11.09282683080105;0.3055726048027551
95;heuristicaocupacao;20.57142857142857;11.733697852236782;0.2559400362821928
100;heuristicaocupacao;21.599999999999998;11.806133591430175;0.25032621225778884
105;heuristicaocupacao;22.628571428571426;11.730883611052738;0.30391980140097796
110;heuristicaocupacao;23.657142857142855;12.24705374116469;0.3294780205519617
115;heuristicaocupacao;24.685714285714283;13.083039826723695;0.3215621723189361
120;heuristicaocupacao;25.71428571428571;12.924225667897694;0.3359616806600709
125;heuristicaocupacao;26.74285714285714;10.572051544525483;0.289463074515725
130;heuristicaocupacao;27.77142857142857;9.585306358592447;0.2755992842574658
135;heuristicaocupacao;28.799999999999997;13.15582538525269;0.3693802909052981
140;heuristicaocupacao;29.828571428571426;10.936904756117011;0.32074656326828177
145;heuristicaocupacao;30.857142857142854;12.161296033158763;0.3289886450268068
150;heuristicaocupacao;31.885714285714283;11.298226389511104;0.3824461368628423
155;heuristicaocupacao;32.91428571428571;10.748636958509458;0.3653738899763027
160;heuristicaocupacao;33.942857142857136;13.174358104813283;0.3684502999436435
165;heuristicaocupacao;34.97142857142856;13.474328517430157;0.4258104142151401
170;heuristicaocupacao;35.999999999999986;12.220940936919805;0.3476414740436157
175;heuristicaocupacao;37.02857142857141;10.288687026020632;0.4008689018843694
180;heuristicaocupacao;38.057142857142836;12.415762850432076;0.3808307688757572
185;heuristicaocupacao;39.08571428571426;13.436089284606117;0.39326482058165474
190;heuristicaocupacao;40.114285714285685;11.647651690948457;0.43714778209504535
195;heuristicaocupacao;41.14285714285711;13.392201160020758;0.41261547907827045
200;heuristicaocupacao;42.171428571428535;13.275809371587624;0.41961596584798305
205;heuristicaocupacao;43.19999999999996;13.952688700880723;0.4417289806827005
210;heuristicaocupacao;44.228571428571385;13.5752555502128;0.4046918557640322
215;heuristicaocupacao;45.25714285714281;12.564884221436108;0.39655082471706093
220;heuristicaocupacao;46.285714285714235;14.81680264450117;0.3964695160035125
225;heuristicaocupacao;47.31428571428566;13.543979550328725;0.37490977122977576
230;heuristicaocupacao;48.342857142857085;13.757482564364777;0.5016733598961778
235;heuristicaocupacao;49.37142857142851;12.93379712532053;0.41297757211323005
240;heuristicaocupacao;50.399999999999935;13.506060813721232;0.4455228914642197
245;heuristicaocupacao;51.42857142857136;13.146818331404857;0.4499427782620376
250;heuristicaocupacao;52.457142857142784;13.94095296602735;0.4735560552798906
255;heuristicaocupacao;53.48571428571421;15.907885486612132;0.49489264780870884
260;heuristicaocupacao;54.514285714285634;12.906553844057449;0.5023214131702346
265;heuristicaocupacao;55.54285714285706;12.747171569631078;0.46510156244928647
270;heuristicaocupacao;56.571428571428484;15.914181275520441;0.48366691127967465
275;heuristicaocupacao;57.59999999999991;14.315965251393983;0.5032446382948284
280;heuristicaocupacao;58.628571428571334;13.938494170404947;0.49339318308158525
285;heuristicaocupacao;59.65714285714276;15.729749576979957;0.5551609612346038
290;heuristicaocupacao;60.685714285714184;14.16650733036603;0.527756519590064
295;heuristicaocupacao;61.71428571428561;16.680410564168845;0.5411602817093233
