Tempo (s);Algoritmo;Total Escoados;Fila Maxima;Ocupacao Media
0;heuristicaocupacao;2.0;23.263217172277354;0.41129228578292554
5;heuristicaocupacao;4.0;24.810127238050576;0.3896051200359414
10;heuristicaocupacao;6.0;25.356445671830187;0.4072434408950925
15;heuristicaocupacao;8.0;27.880887180084308;0.4837630435324431
20;heuristicaocupacao;10.0;26.27728350237783;0.43098430988064684
25;heuristicaocupacao;12.0;31.969243334977847;0.5326135219310122
30;heuristicaocupacao;14.0;30.000517662295493;0.47298137796056394
35;heuristicaocupacao;16.0;30.8100825304868;0.5358184244349182
40;heuristicaocupacao;18.0;30.84692987538437;0.5234747790608638
45;heuristicaocupacao;20.0;32.88797670964745;0.5680956229324703
50;heuristicaocupacao;22.0;35.39607899500241;0.5503432466032409
55;heuristicaocupacao;24.0;31.99884112738941;0.5784495461511645
60;heuristicaocupacao;26.0;33.354708777311856;0.6012275752618718
65;heuristicaocupacao;28.0;35.07401826139167;0.5866010429932225
70;heuristicaocupacao;30.0;33.301989357983636;0.655558063695937
75;heuristicaocupacao;32.0;35.451855350696256;0.6346035930058525
80;heuristicaocupacao;34.0;37.14278114947168;0.6598086692064662
85;heuristicaocupacao;36.0;41.352639618448485;0.653502852095078
90;heuristicaocupacao;38.0;40.656403322504815;0.6231299902361407
95;heuristicaocupacao;40.0;41.3173081117522;0.7109358337886617
100;heuristicaocupacao;42.0;43.79391157208659;0.8057117959817208
105;heuristicaocupacao;44.0;42.156570529001506;0.7735381286369407
110;heuristicaocupacao;46.0;44.30949545815556;0.7660888552746348
115;heuristicaocupacao;48.0;43.908612284335426;0.7754466084570855
120;heuristicaocupacao;50.0;45.66340587349907;0.8006739767843615
125;heuristicaocupacao;52.0;44.37643668930438;0.8330802401219229
130;heuristicaocupacao;54.0;40.56962377097559;0.797908948874068
135;heuristicaocupacao;56.0;47.16430209453424;0.8834296508400663
140;heuristicaocupacao;58.0;51.89020367358319;0.888128106129904
145;heuristicaocupacao;60.0;51.48220517227065;0.9048789051045714
150;heuristicaocupacao;62.0;52.413493711477926;0.9131542721642918
155;heuristicaocupacao;64.0;53.92366013784887;0.9172551663974864
160;heuristicaocupacao;66.0;51.88831064407025;0.9535191704123379
165;heuristicaocupacao;68.0;52.99328926851399;0.9677544240122414
170;heuristicaocupacao;70.0;51.78920359474746;0.9560454453384359
175;heuristicaocupacao;72.0;53.37648452659905;0.9661252801464264
180;heuristicaocupacao;74.0;56.53942787442786;0.98
185;heuristicaocupacao;76.0;58.843044426255375;0.98
190;heuristicaocupacao;78.0;56.31805097746417;0.98
195;heuristicaocupacao;80.0;56.374526837871464;0.98
200;heuristicaocupacao;82.0;58.33465323047482;0.98
205;heuristicaocupacao;84.0;60.66968353898945;0.98
210;heuristicaocupacao;86.0;56.39036295966615;0.98
215;heuristicaocupacao;88.0;55.09288095049025;0.98
220;heuristicaocupacao;90.0;60.29032454293771;0.98
225;heuristicaocupacao;92.0;59.448218935214605;0.98
230;heuristicaocupacao;94.0;62.06298283921505;0.98
235;heuristicaocupacao;96.0;63.79721586962298;0.98
240;heuristicaocupacao;98.0;63.86687897744247;0.98
245;heuristicaocupacao;100.0;69.4645021695102;0.98
250;heuristicaocupacao;102.0;67.48352857817247;0.98
255;heuristicaocupacao;104.0;68.25118589902706;0.98
260;heuristicaocupacao;106.0;69.88885119344184;0.98
265;heuristicaocupacao;108.0;66.31958387221475;0.98
270;heuristicaocupacao;110.0;72.59777946855067;0.98
275;heuristicaocupacao;112.0;70.64392261699467;0.98
280;heuristicaocupacao;114.0;73.3428682097697;0.98
285;heuristicaocupacao;116.0;69.82035691739961;0.98
290;heuristicaocupacao;118.0;69.44893641829319;0.98
295;heuristicaocupacao;120.0;76.21139081172925;0.98
