tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;backpressure;10;5.0;0.25
10;backpressure;10;5.0;0.25
15;backpressure;10;5.0;0.25
20;backpressure;12;3.0;0.23
25;backpressure;24;4.0;0.33
30;backpressure;36;7.0;0.43
35;backpressure;45;10.0;0.45
40;backpressure;24;6.0;0.20
45;backpressure;13;5.0;0.26
50;backpressure;10;5.0;0.25
55;backpressure;8;4.0;0.20
60;backpressure;18;3.0;0.25
65;backpressure;33;6.0;0.42
70;backpressure;42;9.0;0.44
75;backpressure;28;7.0;0.23
80;backpressure;16;5.0;0.27
85;backpressure;10;5.0;0.25
90;backpressure;10;5.0;0.25
95;backpressure;18;3.0;0.25
100;backpressure;33;6.0;0.42
105;backpressure;42;9.0;0.44
110;backpressure;38;9.0;0.34
115;backpressure;17;4.0;0.22
120;backpressure;10;5.0;0.25
125;backpressure;10;5.0;0.25
130;backpressure;12;2.0;0.17
135;backpressure;30;5.0;0.41
140;backpressure;39;8.0;0.43
145;backpressure;39;9.0;0.37
150;backpressure;18;4.0;0.18
155;backpressure;10;5.0;0.25
160;backpressure;10;5.0;0.25
165;backpressure;16;2.0;0.27
170;backpressure;30;5.0;0.41
175;backpressure;41;8.0;0.48
180;backpressure;48;11.0;0.46
