tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;backpressure;8;4.0;0.20
10;backpressure;10;5.0;0.25
15;backpressure;10;5.0;0.25
20;backpressure;12;3.0;0.23
25;backpressure;24;4.0;0.33
30;backpressure;33;6.0;0.42
35;backpressure;42;9.0;0.44
40;backpressure;19;5.0;0.14
45;backpressure;10;5.0;0.25
50;backpressure;10;5.0;0.25
55;backpressure;14;4.0;0.28
60;backpressure;18;3.0;0.25
65;backpressure;33;6.0;0.42
70;backpressure;39;8.0;0.43
75;backpressure;24;6.0;0.20
80;backpressure;7;4.0;0.17
85;backpressure;10;5.0;0.25
90;backpressure;10;5.0;0.25
95;backpressure;12;2.0;0.17
100;backpressure;30;5.0;0.41
105;backpressure;36;7.0;0.43
110;backpressure;32;7.0;0.33
115;backpressure;9;3.0;0.16
120;backpressure;13;5.0;0.33
125;backpressure;10;5.0;0.25
130;backpressure;15;2.0;0.24
135;backpressure;24;4.0;0.33
140;backpressure;37;7.0;0.45
145;backpressure;30;7.0;0.28
150;backpressure;12;3.0;0.16
155;backpressure;10;5.0;0.25
160;backpressure;13;5.0;0.33
165;backpressure;15;2.0;0.24
170;backpressure;24;4.0;0.33
175;backpressure;36;7.0;0.43
180;backpressure;42;9.0;0.44
