Tempo (s);Algoritmo;Total Escoados;Fila Maxima;Ocupacao Media
0;RL;2.0;25.609143059256787;0.42992896230760735
5;RL;4.0;22.774478983001426;0.4080628395945186
10;RL;6.0;23.536150998197677;0.4561187799579166
15;RL;8.0;24.075640700913315;0.4412472410322439
20;RL;10.0;27.27633829368485;0.46487188236076954
25;RL;12.0;25.934211809542486;0.4981401394633621
30;RL;14.0;29.235159797438804;0.5087269117277001
35;RL;16.0;21.363433342739018;0.45680071325311455
40;RL;18.0;26.857870337180497;0.4996960211305016
45;RL;20.0;26.684865097722373;0.5778822995437245
50;RL;22.0;29.359148304068768;0.5627025689996202
55;RL;24.0;29.154880603774654;0.5676213942501908
60;RL;26.0;32.994609449739414;0.5592427795422759
65;RL;28.0;26.851658070849858;0.5842745770283913
70;RL;30.0;32.11372869082688;0.5726793741344749
75;RL;32.0;33.89584105802926;0.6469615784389541
80;RL;34.0;37.641618591404885;0.6487135392492354
85;RL;36.0;32.29558507226631;0.6543356966037739
90;RL;38.0;34.811146510881294;0.6979562972449613
95;RL;40.0;29.99034301859409;0.7275857855922488
100;RL;42.0;29.02010948921744;0.7961292712996317
105;RL;44.0;37.61193593945425;0.7046434974131036
110;RL;46.0;35.98609926587982;0.8014480979656823
115;RL;48.0;39.44628172449606;0.8125263801637856
120;RL;50.0;33.566492777575625;0.776627217818699
125;RL;52.0;38.79975534882188;0.8227637453042476
130;RL;54.0;42.67204460135963;0.8196043358532049
135;RL;56.0;39.54926402089316;0.8555706574125622
140;RL;58.0;39.69145376397762;0.9119405970688033
145;RL;60.0;39.52139020206087;0.9015015203122727
150;RL;62.0;36.07279635718522;0.9152582511970033
155;RL;64.0;43.88893233927587;0.9037573870680274
160;RL;66.0;39.47285590048733;0.8888116333856033
165;RL;68.0;42.76120814095754;0.9437459536837878
170;RL;70.0;38.092414233571866;0.98
175;RL;72.0;39.551350838730556;0.937518297635644
180;RL;74.0;46.58771849805559;0.9683473189546992
185;RL;76.0;42.63174427760539;0.98
190;RL;78.0;47.63318869010635;0.98
195;RL;80.0;44.30442335235371;0.98
200;RL;82.0;40.395255567605346;0.98
205;RL;84.0;47.730168999329294;0.98
210;RL;86.0;44.52526920561098;0.98
215;RL;88.0;48.24672203379261;0.98
220;RL;90.0;47.063027168850205;0.98
225;RL;92.0;43.642204430142826;0.98
230;RL;94.0;48.410736913426426;0.98
235;RL;96.0;53.990557855382;0.98
240;RL;98.0;50.23246614628615;0.98
245;RL;100.0;49.356205617486346;0.98
250;RL;102.0;52.68835850489224;0.98
255;RL;104.0;51.02667116300778;0.98
260;RL;106.0;51.52383557565699;0.98
265;RL;108.0;48.77093706960223;0.98
270;RL;110.0;52.584620064473995;0.98
275;RL;112.0;55.088608541042355;0.98
280;RL;114.0;50.90984461974994;0.98
285;RL;116.0;57.06123955311736;0.98
290;RL;118.0;53.77073493963719;0.98
295;RL;120.0;52.28057622115364;0.98
