tempo;algoritmo;total_escoados;fila_maxima;ocupacao_media
5;backpressure;10;5.0;0.25
10;backpressure;10;5.0;0.25
15;backpressure;10;5.0;0.25
20;backpressure;18;3.0;0.31
25;backpressure;33;6.0;0.42
30;backpressure;42;9.0;0.44
35;backpressure;54;13.0;0.47
40;backpressure;42;11.0;0.31
45;backpressure;31;6.0;0.37
50;backpressure;13;5.0;0.26
55;backpressure;12;3.0;0.23
60;backpressure;32;5.0;0.46
65;backpressure;39;8.0;0.43
70;backpressure;51;12.0;0.46
75;backpressure;43;11.0;0.33
80;backpressure;28;6.0;0.29
85;backpressure;13;5.0;0.26
90;backpressure;10;5.0;0.25
95;backpressure;24;4.0;0.33
100;backpressure;41;8.0;0.48
105;backpressure;48;11.0;0.46
110;backpressure;49;12.0;0.42
115;backpressure;31;7.0;0.30
120;backpressure;19;5.0;0.27
125;backpressure;10;5.0;0.25
130;backpressure;20;3.0;0.30
135;backpressure;36;7.0;0.43
140;backpressure;47;10.0;0.50
145;backpressure;50;12.0;0.44
150;backpressure;34;8.0;0.31
155;backpressure;22;5.0;0.28
160;backpressure;10;5.0;0.25
165;backpressure;16;2.0;0.27
170;backpressure;33;6.0;0.42
175;backpressure;45;10.0;0.45
180;backpressure;54;13.0;0.47
